booking_id,guest_id,hotel_name_raw,room_type_id,check_in,check_out,nights,rate_per_night,total_revenue,satisfaction_score,booking_channel
70,86,Paris Gare De Lyon,4,2025-10-23,2025-10-25,2,117.5,235.0,4,Direct
71,210,copenhagen islands brygge,4,2026-03-02,2026-03-08,6,104.07,624.42,5,OTA
72,276,Boston North Station,3,2025-06-22,2025-06-29,7,226.23,1583.61,3,OTA
73,388,ROTTERDAM ,1,2026-03-28,2026-04-02,5,116.64,583.2,3,Direct
74,225,Rotterdam,1,2025-08-31,2025-09-02,2,123.73,247.46,2,OTA
75,292,New York Bowery,3,2026-06-30,2026-07-03,3,182.83,548.49,5,Corporate
76,385,London Bankside,4,2025-03-02,2025-03-05,3,90.32,270.96,3,Corporate
77,73,copenhagen islands brygge,3,2026-03-01,2026-03-05,4,218.0,872.0,4,Corporate
78,250,rotterdam,3,2025-01-03,2025-01-10,7,225.49,1578.43,5,Corporate
79,220,Copenhagen Islands Brygge,2,2026-05-22,2026-05-25,3,140.87,422.61,4,Direct
80,51,Amsterdam Amstel,4,2025-01-17,2025-01-18,1,91.5,91.5,2,OTA
81,141,Boston North Station,1,2026-01-05,2026-01-08,3,127.07,381.21,5,Corporate
82,336,new york bowery,1,2025-04-08,2025-04-09,1,101.5,101.5,3,Direct
82,336,new york bowery,1,2025-04-08,2025-04-09,1,101.5,101.5,3,Direct
83,217,Rotterdam,2,2026-05-05,2026-05-06,1,130.07,130.07,4,Corporate
84,347,Paris Gare De Lyon,2,2025-03-12,2025-03-17,5,159.03,795.15,4,OTA
85,45,Seattle South Lake Union,1,2025-05-24,2025-05-31,7,129.93,909.51,2,OTA
86,284,London Bankside,3,2025-01-28,2025-02-04,7,236.31,1654.17,3,Direct
87,254,amsterdam amstel,4,2025-04-26,2025-04-28,2,108.07,216.14,5,Corporate
88,280,copenhagen islands brygge,2,2026-04-28,2026-05-05,7,157.76,552.16,5,Direct
89,360,copenhagen islands brygge,4,2025-03-26,2025-04-01,6,108.91,653.46,5,OTA
90,168,Paris Gare De Lyon,4,2025-03-09,2025-03-12,3,113.24,339.72,5,Direct
91,342, Amsterdam Amstel ,2,2025-05-03,2025-05-04,1,164.1,164.1,4,Corporate
92,400,Paris Gare De Lyon,3,2025-05-01,2025-05-08,7,195.43,1368.01,3,OTA
93,262,seattle south lake union,3,2025-02-26,2025-03-02,4,182.72,730.88,4,Direct
94,7,Amsterdam Amstel,2,2025-02-17,2025-02-21,4,176.26,705.04,5,Direct
95,369,new york bowery,3,2025-10-05,2025-10-12,7,198.28,1387.96,5,OTA
96,239,Copenhagen Islands Brygge,3,2025-11-15,2025-11-18,3,204.63,613.89,5,Corporate
97,189,new york bowery,4,2025-07-20,2025-07-26,6,114.4,686.4,5,Direct
98,356,ROTTERDAM ,1,2025-12-10,2025-12-11,1,114.51,114.51,5,OTA
99,31,copenhagen islands brygge,2,2025-10-14,2025-10-15,1,137.97,137.97,2,Corporate
100,49,London  Bankside,2,2026-02-08,2026-02-09,1,128.56,128.56,4,Corporate
101,163,copenhagen islands brygge,4,2025-10-06,2025-10-08,2,93.2,186.4,4,OTA
102,62,rotterdam,3,2025-08-01,2025-08-05,4,190.13,760.52,4,Corporate
103,168,amsterdam amstel,2,2025-04-04,2025-04-10,6,144.88,869.28,5,OTA
104,285,copenhagen islands brygge,2,2025-04-07,2025-04-11,4,169.24,676.96,5,OTA
105,352,copenhagen islands brygge,1,2025-09-23,2025-09-30,7,141.58,991.06,5,Direct
106,22,Rotterdam,4,2025-02-21,2025-02-23,2,101.96,203.92,,Direct
107,141,New York Bowery,3,2026-04-02,2026-04-04,2,216.91,433.82,5,OTA
108,197,london bankside,2,2026-03-06,2026-03-08,2,169.42,338.84,3,Direct
109,279,rotterdam,4,2025-12-19,2025-12-24,5,100.26,501.3,4,Direct
110,242,Boston North Station,3,2025-08-27,2025-08-29,2,219.76,439.52,5,OTA
111,89,copenhagen islands brygge,2,2025-08-31,2025-09-05,5,166.14,830.7,5,Corporate
112,97,Paris Gare De Lyon,4,2025-11-13,2025-11-15,2,88.93,177.86,,Direct
112,97,Paris Gare De Lyon,4,2025-11-13,2025-11-15,2,88.93,177.86,,Direct
113,175,New York Bowery,2,2025-11-28,2025-11-29,1,157.72,157.72,4,Corporate
114,340,ROTTERDAM ,4,2025-04-14,2025-04-17,3,90.69,272.07,2,Direct
115,288,Paris Gare De Lyon,3,2025-08-17,2025-08-23,6,183.36,1100.16,5,Direct
116,94,Copenhagen Islands Brygge,3,2025-08-15,2025-08-21,6,240.91,1445.46,4,Corporate
117,344,London  Bankside,3,2026-04-03,2026-04-04,1,188.97,188.97,5,Direct
118,215,Seattle  South Lake Union,2,2026-02-28,2026-03-04,4,144.63,578.52,5,OTA
119,232,New York Bowery,1,2025-02-04,2025-02-07,3,109.49,328.47,4,Direct
120,48,London  Bankside,3,2026-05-10,2026-05-16,6,241.35,1448.1,2,Direct
121,357,new york bowery,3,2025-10-16,2025-10-19,3,173.85,521.55,5,Corporate
121,357,new york bowery,3,2025-10-16,2025-10-19,3,173.85,521.55,5,Corporate
122,339,london bankside,4,2025-07-24,2025-07-25,1,91.99,91.99,4,Direct
123,251,copenhagen islands brygge,3,2025-04-04,2025-04-10,6,184.08,1104.48,4,Direct
124,116,seattle south lake union,3,2025-03-05,2025-03-07,2,220.56,441.12,4,Direct
125,32, New York Bowery,4,2026-06-20,2026-06-24,4,111.61,446.44,3,Direct
126,62,amsterdam amstel,4,2025-06-27,2025-06-29,2,116.22,232.44,2,Direct
127,133,Paris Gare De Lyon,3,2025-03-10,2025-03-11,1,200.14,200.14,5,Direct
128,213,Copenhagen Islands Brygge,2,2025-06-01,2025-06-06,5,167.27,836.35,4,Direct
129,136,rotterdam,4,2026-05-13,2026-05-18,5,86.92,434.6,4,Direct
130,122,ROTTERDAM ,1,2026-05-02,2026-05-05,3,98.98,296.94,5,Direct
131,69,London Bankside,3,2026-03-30,2026-04-06,7,190.47,1333.29,4,OTA
132,389,copenhagen islands brygge,3,2025-02-27,2025-03-04,5,175.06,875.3,2,OTA
133,99,amsterdam amstel,2,2025-03-01,2025-03-03,2,127.91,255.82,3,Direct
134,16,London  Bankside,2,2026-01-17,2026-01-21,4,134.97,539.88,3,OTA
135,146,Boston North Station,1,2026-01-31,2026-02-01,1,123.05,123.05,3,OTA
136,400,Copenhagen Islands Brygge,1,2026-05-01,2026-05-03,2,124.31,447.52,5,Corporate
137,236,copenhagen islands brygge,3,2025-08-12,2025-08-16,4,209.46,837.84,,Corporate
138,351,boston north station,1,2026-05-09,2026-05-10,1,110.15,110.15,5,Corporate
139,308,New York Bowery,4,2025-11-24,2025-11-30,6,86.47,518.82,5,Direct
140,176,amsterdam amstel,2,2026-05-03,2026-05-09,6,141.79,850.74,3,Direct
141,349,Boston North Station,3,2025-04-02,2025-04-04,2,226.36,452.72,4,OTA
142,28,london bankside,1,2026-04-29,2026-05-01,2,135.92,271.84,5,OTA
143,210,new york bowery,4,2025-05-27,2025-05-30,3,92.35,277.05,4,OTA
144,232,Amsterdam Amstel,3,2025-08-03,2025-08-10,7,213.67,1495.69,4,Direct
145,245,copenhagen islands brygge,4,2025-01-05,2025-01-06,1,113.27,113.27,4,OTA
146,116,amsterdam amstel,3,2025-11-16,2025-11-18,2,208.15,416.3,4,Corporate
147,267,Seattle  South Lake Union,3,2026-03-21,2026-03-27,6,196.01,1176.06,4,OTA
148,117,Copenhagen Islands Brygge,2,2025-05-15,2025-05-17,2,157.89,315.78,4,Direct
149,305,Boston North Station,1,2025-04-21,2025-04-27,6,100.2,601.2,5,OTA
150,356,Paris Gare de Lyon,1,2025-11-05,2025-11-09,4,126.98,507.92,4,Direct
151,59,london bankside,1,2026-05-25,2026-05-27,2,132.02,264.04,3,Direct
152,107,AMSTERDAM AMSTEL,4,2025-12-05,2025-12-05,0,119.96,0.0,5,Direct
153,371,London  Bankside,1,2025-09-20,2025-09-26,6,141.21,847.26,,OTA
154,347,boston north station,3,2026-03-13,2026-03-19,6,234.45,1406.7,5,OTA
155,138,Seattle  South Lake Union,1,2026-01-17,2026-01-24,7,103.06,721.42,5,Direct
156,333,seattle south lake union,2,2025-04-26,2025-04-28,2,128.36,256.72,4,OTA
157,313,Seattle South Lake Union,4,2026-01-03,2026-01-08,5,111.51,557.55,4,Direct
158,24,copenhagen islands brygge,1,2025-09-25,2025-10-01,6,128.82,772.92,3,Corporate
159,339,london bankside,2,2026-05-09,2026-05-12,3,160.76,482.28,3,OTA
160,241,Paris Gare De Lyon,4,2025-06-19,2025-06-20,1,97.68,97.68,,OTA
161,121,copenhagen islands brygge,1,2026-04-16,2026-04-20,4,117.64,470.56,5,Direct
162,207,Amsterdam Amstel,4,2025-02-06,2025-02-11,5,116.88,584.4,5,OTA
163,187,seattle south lake union,1,2025-08-17,2025-08-24,7,122.52,857.64,5,Corporate
164,389,London Bankside,2,2025-01-03,2025-01-06,3,160.33,480.99,3,Direct
165,72,paris gare de lyon,4,2025-04-20,2025-04-23,3,92.63,277.89,2,OTA
166,24,london bankside,1,2026-04-07,2026-04-11,4,139.79,559.16,,Direct
167,261,copenhagen islands brygge,2,2025-06-27,2025-07-03,6,130.86,785.16,4,Direct
168,204,new york bowery,3,2025-10-29,2025-11-02,4,180.55,722.2,3,OTA
169,108,New York Bowery,3,2025-12-20,2025-12-26,6,223.81,1342.86,4,Corporate
170,246,ROTTERDAM ,4,2025-10-20,2025-10-27,7,85.99,601.93,2,Direct
171,350,paris gare de lyon,3,2025-05-30,2025-06-06,7,229.4,1605.8,,Direct
172,332, New York Bowery,4,2025-09-01,2025-09-06,5,115.86,579.3,5,Direct
173,28,ROTTERDAM ,1,2025-09-15,2025-09-17,2,132.15,264.3,3,Corporate
174,100, New York Bowery,3,2026-04-05,2026-04-07,2,175.73,351.46,3,Direct
175,83,Boston North Station,3,2025-01-06,2025-01-09,3,240.97,722.91,4,OTA
176,294,boston north station,3,2025-03-16,2025-03-23,7,209.82,1468.74,3,OTA
177,179,Copenhagen Islands Brygge,2,2025-08-07,2025-08-13,6,145.16,870.96,3,OTA
178,343,Amsterdam Amstel,3,2026-04-02,2026-04-04,2,216.5,433.0,5,Corporate
179,132,london bankside,3,2025-01-26,2025-01-31,5,198.45,992.25,5,Corporate
180,264,new york bowery,1,2025-04-09,2025-04-11,2,131.82,263.64,4,OTA
181,106,Copenhagen Islands Brygge,4,2025-03-15,2025-03-21,6,86.4,518.4,5,Direct
182,295,Boston North Station,2,2025-09-22,2025-09-26,4,160.14,640.56,5,Direct
183,300,London  Bankside,1,2025-03-16,2025-03-19,3,102.73,308.19,5,Corporate
184,203,seattle south lake union,1,2026-05-01,2026-05-03,2,104.05,208.1,3,OTA
185,284,Rotterdam,2,2025-05-07,2025-05-06,-1,154.97,-154.97,5,Corporate
186,95,Paris Gare de Lyon,2,2025-09-16,2025-09-18,2,162.41,324.82,5,OTA
187,344,london bankside,1,2025-09-14,2025-09-15,1,123.41,123.41,4,OTA
188,163,London Bankside,4,2026-04-07,2026-04-10,3,97.12,291.36,4,Direct
189,114,Rotterdam,4,2025-10-11,2025-10-18,7,111.32,779.24,5,Corporate
190,56,Seattle  South Lake Union,2,2025-03-25,2025-04-01,7,171.05,1197.35,3,Direct
191,298,Amsterdam Amstel,4,2025-08-06,2025-08-07,1,106.15,106.15,5,OTA
192,376, New York Bowery,3,2025-05-18,2025-05-22,4,176.95,707.8,5,OTA
193,82,paris gare de lyon,2,2025-05-30,2025-06-05,6,177.32,1063.92,5,Corporate
194,266,amsterdam amstel,3,2026-02-02,2026-02-06,4,236.75,947.0,4,OTA
195,297,boston north station,2,2026-01-21,2026-01-27,6,157.77,946.62,4,Direct
196,208, New York Bowery,3,2025-12-20,2025-12-24,4,237.17,474.34,5,Direct
197,77,Boston North Station,2,2025-06-11,2025-06-14,3,170.52,511.56,2,Direct
198,108,seattle south lake union,2,2026-02-25,2026-02-26,1,132.21,132.21,4,Direct
199,86,Paris Gare de Lyon,3,2025-07-04,2025-07-09,5,215.41,1077.05,5,Corporate
200,311,new york bowery,4,2026-05-09,2026-05-11,2,101.11,202.22,4,OTA
201,306,rotterdam,1,2025-08-24,2025-08-28,4,102.83,411.32,3,OTA
202,315,paris gare de lyon,1,2026-06-29,2026-07-04,5,102.16,510.8,3,Direct
203,358,Rotterdam,4,2025-08-23,2025-08-30,7,114.71,802.97,4,Corporate
204,146,New York Bowery,4,2025-09-21,2025-09-21,0,107.46,0.0,5,OTA
205,186,rotterdam,1,2025-06-08,2025-06-12,4,109.16,436.64,2,OTA
206,212,Copenhagen Islands Brygge,4,2025-07-03,2025-07-06,3,103.88,311.64,4,Direct
207,118,London  Bankside,4,2025-06-15,2025-06-16,1,100.72,100.72,3,Direct
208,75,Amsterdam Amstel,4,2026-03-22,2026-03-23,1,93.93,93.93,5,Direct
209,397,Boston North Station,2,2026-05-22,2026-05-26,4,172.39,689.56,3,Direct
210,87, New York Bowery,1,2026-01-04,2026-01-06,2,140.64,281.28,5,Corporate
211,266,Copenhagen Islands Brygge,1,2025-03-12,2025-03-13,1,129.76,129.76,4,Corporate
212,207,new york bowery,1,2025-09-25,2025-09-27,2,102.74,205.48,5,Direct
213,356,boston north station,4,2026-01-22,2026-01-27,5,94.74,473.7,5,OTA
214,133,Seattle South Lake Union,1,2026-01-27,2026-02-02,6,107.71,646.26,4,Corporate
215,128, Amsterdam Amstel ,3,2025-04-06,2025-04-10,4,232.17,928.68,4,Corporate
216,383,Boston North Station,2,2026-05-26,2026-06-01,6,165.99,995.94,3,OTA
217,399,Rotterdam,1,2025-05-03,2025-05-04,1,127.03,127.03,3,Direct
218,295,rotterdam,3,2026-05-18,2026-05-20,2,239.35,478.7,3,OTA
219,277,copenhagen islands brygge,1,2026-05-30,2026-06-02,3,128.02,384.06,4,Direct
220,346,Amsterdam Amstel,2,2026-01-24,2026-01-29,5,145.21,726.05,4,OTA
221,95,rotterdam,4,2026-03-11,2026-03-13,2,114.08,228.16,2,OTA
222,370,New York Bowery,3,2025-08-30,2025-09-04,5,198.89,994.45,4,Direct
223,323,Seattle South Lake Union,3,2026-05-14,2026-05-17,3,235.0,705.0,4,Direct
224,323,boston north station,1,2026-04-06,2026-04-12,6,113.84,683.04,5,Direct
225,295, New York Bowery,2,2025-10-19,2025-10-22,3,153.48,460.44,5,Direct
226,75,Seattle  South Lake Union,2,2025-12-12,2025-12-16,4,156.88,627.52,4,Corporate
227,150,ROTTERDAM ,3,2026-02-09,2026-02-12,3,229.14,687.42,3,Direct
228,373,amsterdam amstel,2,2025-09-15,2025-09-21,6,129.55,777.3,4,Direct
229,269,AMSTERDAM AMSTEL,1,2025-04-17,2025-04-20,3,101.78,305.34,2,OTA
230,65,Seattle  South Lake Union,2,2026-06-24,2026-07-01,7,127.05,889.35,4,Direct
231,70,boston north station,2,2026-04-13,2026-04-19,6,173.88,1043.28,3,Corporate
232,227,New York Bowery,3,2026-01-10,2026-01-14,4,193.05,386.1,4,OTA
232,227,New York Bowery,3,2026-01-10,2026-01-14,4,193.05,386.1,4,OTA
233,154,seattle south lake union,1,2026-03-17,2026-03-24,7,108.18,1363.07,3,OTA
234,367,New York Bowery,4,2026-01-23,2026-01-25,2,101.55,203.1,5,OTA
235,36,Copenhagen Islands Brygge,2,2025-05-20,2025-05-23,3,150.42,451.26,5,Direct
236,53,amsterdam amstel,3,2025-10-03,2025-10-05,2,225.07,450.14,,OTA
237,191,boston north station,4,2025-02-02,2025-02-05,3,114.02,342.06,5,Direct
238,129,Paris Gare de Lyon,4,2025-01-13,2025-01-14,1,112.66,112.66,5,Direct
239,341,London  Bankside,2,2026-04-30,2026-05-04,4,142.45,569.8,5,OTA
240,327,boston north station,3,2025-07-23,2025-07-26,3,235.39,706.17,4,Direct
241,300,paris gare de lyon,1,2026-02-10,2026-02-17,7,140.34,982.38,5,OTA
242,81,London Bankside,4,2025-04-04,2025-04-10,6,120.87,725.22,,OTA
243,250,London Bankside,2,2025-11-21,2025-11-26,5,167.17,835.85,5,Direct
244,69,ROTTERDAM ,3,2025-02-10,2025-02-14,4,212.36,849.44,5,OTA
245,240,ROTTERDAM ,3,2025-06-14,2025-06-15,1,204.07,204.07,3,Direct
246,10,Copenhagen Islands Brygge,3,2025-09-02,2025-09-05,3,219.87,659.61,2,Direct
247,145,Paris Gare De Lyon,3,2026-02-24,2026-03-02,6,177.38,1064.28,5,OTA
248,55,amsterdam amstel,4,2025-07-16,2025-07-17,1,109.89,109.89,5,OTA
249,311,Rotterdam,1,2025-01-14,2025-01-16,2,138.58,277.16,5,Direct
250,363,copenhagen islands brygge,1,2025-09-30,2025-10-05,5,101.17,505.85,3,Direct
251,198, New York Bowery,2,2025-07-17,2025-07-22,5,156.79,783.95,3,Direct
252,235,ROTTERDAM ,4,2025-04-17,2025-04-19,2,106.4,212.8,4,OTA
253,282,rotterdam,3,2026-01-16,2026-01-20,4,202.65,810.6,3,OTA
254,232,boston north station,4,2026-02-11,2026-02-12,1,122.85,122.85,3,Corporate
254,232,boston north station,4,2026-02-11,2026-02-12,1,122.85,122.85,3,Corporate
255,162,New York Bowery,1,2025-10-10,2025-10-15,5,122.98,614.9,,Corporate
256,299,boston north station,2,2025-08-27,2025-08-30,3,130.21,390.63,3,Corporate
257,354,paris gare de lyon,1,2025-11-04,2025-11-05,1,123.23,123.23,5,Corporate
258,62,copenhagen islands brygge,2,2025-01-12,2025-01-18,6,146.37,878.22,5,OTA
259,26,New York Bowery,4,2026-04-02,2026-04-09,7,104.68,732.76,5,OTA
260,293,london bankside,1,2026-02-13,2026-02-16,3,119.98,359.94,4,Direct
261,334,seattle south lake union,2,2026-06-21,2026-06-23,2,139.9,279.8,4,Direct
262,165,Rotterdam,3,2025-01-25,2025-02-01,7,244.77,1713.39,5,Direct
263,351,New York Bowery,3,2025-06-09,2025-06-16,7,176.59,1236.13,3,OTA
264,176,Boston North Station,1,2025-11-09,2025-11-13,4,112.57,450.28,3,OTA
265,374,Seattle  South Lake Union,2,2025-01-19,2025-01-23,4,161.99,647.96,4,OTA
266,239,Boston North Station,1,2025-03-10,2025-03-14,4,127.01,508.04,4,Direct
267,195,Copenhagen Islands Brygge,1,2025-11-20,2025-11-24,4,121.28,485.12,3,OTA
268,127,Amsterdam Amstel,3,2025-12-08,2025-12-12,4,181.97,727.88,4,Corporate
269,321,Boston North Station,3,2026-02-01,2026-02-08,7,241.48,1690.36,3,Direct
270,196,London  Bankside,2,2026-03-04,2026-03-06,2,148.81,297.62,4,OTA
271,278,Paris Gare De Lyon,2,2025-05-22,2025-05-25,3,175.06,525.18,2,OTA
272,35,paris gare de lyon,1,2025-07-08,2025-07-11,3,104.44,313.32,4,Direct
273,382,boston north station,3,2025-06-05,2025-06-12,7,180.04,1260.28,5,OTA
274,352,New York Bowery,1,2026-01-03,2026-01-04,1,118.88,118.88,5,Corporate
275,243,copenhagen islands brygge,2,2025-06-17,2025-06-19,2,147.82,295.64,5,OTA
276,34,New York Bowery,2,2026-03-26,2026-04-02,7,163.35,1143.45,3,Direct
277,202,copenhagen islands brygge,1,2026-06-18,2026-06-19,1,134.16,134.16,3,Direct
278,265,AMSTERDAM AMSTEL,1,2025-07-14,2025-07-17,3,136.66,409.98,5,Direct
279,238,amsterdam amstel,4,2025-04-03,2025-04-09,6,92.33,553.98,3,Direct
280,233,amsterdam amstel,2,2026-04-11,2026-04-12,1,163.56,163.56,4,Direct
281,186,Seattle  South Lake Union,1,2026-06-21,2026-06-27,6,132.59,795.54,4,Direct
282,290,paris gare de lyon,2,2025-06-16,2025-06-23,7,167.87,1175.09,5,Direct
283,68,Paris Gare de Lyon,2,2025-01-04,2025-01-09,5,125.78,628.9,5,Direct
284,112,Seattle South Lake Union,4,2026-04-10,2026-04-14,4,108.35,780.12,3,OTA
285,335,Paris Gare de Lyon,3,2025-02-07,2025-02-09,2,220.52,441.04,5,Direct
286,83,Copenhagen Islands Brygge,3,2025-07-01,2025-07-05,4,197.33,789.32,5,Direct
287,150,Copenhagen Islands Brygge,4,2025-05-18,2025-05-19,1,95.93,95.93,3,OTA
288,374,London  Bankside,1,2026-05-11,2026-05-17,6,138.82,832.92,5,Corporate
289,315,Rotterdam,4,2026-06-17,2026-06-23,6,104.22,625.32,3,OTA
289,315,Rotterdam,4,2026-06-17,2026-06-23,6,104.22,625.32,3,OTA
290,321,AMSTERDAM AMSTEL,1,2025-08-01,2025-08-08,7,116.18,813.26,4,OTA
290,321,AMSTERDAM AMSTEL,1,2025-08-01,2025-08-08,7,116.18,813.26,4,OTA
291,145, New York Bowery,3,2025-03-11,2025-03-14,3,211.68,635.04,4,Corporate
292,100,amsterdam amstel,3,2025-12-13,2025-12-19,6,205.97,1235.82,4,Direct
293,212,rotterdam,1,2026-06-18,2026-06-21,3,127.67,383.01,5,Corporate
294,77,Rotterdam,3,2025-02-01,2025-02-04,3,217.46,652.38,2,Direct
295,364,boston north station,1,2025-10-06,2025-10-10,4,136.34,545.36,5,Corporate
296,399,Rotterdam,2,2025-04-05,2025-04-09,4,169.53,678.12,4,Direct
297,74,boston north station,1,2026-06-13,2026-06-19,6,107.05,642.3,2,OTA
298,352,Boston North Station,1,2025-12-08,2025-12-12,4,102.6,410.4,,Corporate
